history,counts,length,lengthsq,category
M0,1,16.96,287.64,
M0,1,16.85,283.92,
M0,1,17.32,299.98,
M0,1,20.07,402.80,
M0,1,17.28,298.60,
F0,1,23.46,550.37,
M0,1,19.92,396.81,
F0,1,25.78,664.61,
M0,1,16.57,274.56,
M0,1,20.47,419.02,
F0,1,21.14,446.90,
M0,1,20.43,417.38,
M0,1,23.62,557.90,
M0,1,18.85,355.32,
F0,1,23.81,566.92,
M0,1,22.16,491.07,
M0,1,21.25,451.56,
F0,1,25.11,630.51,
M0,1,20.74,430.15,
M0,1,20.98,440.16,
F0,1,17.91,320.77,
M0,1,16.96,287.64,
M0,1,21.25,451.56,
M0,1,17.36,301.37,
F0,1,25.31,640.60,
M0,1,15.7,246.49,
M0,1,22.28,496.40,
M0,1,20.86,435.14,
M0,1,19.17,367.49,
M0,1,17.91,320.77,
F0,1,24.05,578.40,
F0,1,27,729.00,
F0,1,25.39,644.65,
M0,1,22.67,513.93,
F0,1,22.36,499.97,
F0,1,23.42,548.50,
F0,1,23.03,530.38,
F0,1,23.77,565.01,
M0,1,20.66,426.84,
M0,1,17.16,294.47,
F0,1,18.5,342.25,
M0,1,17.2,295.84,
F0,1,23.46,550.37,
M0,1,16.49,271.92,
M0,1,20,400.00,
M0,1,16.49,271.92,
M0,1,16.53,273.24,
M0,1,17.95,322.20,
M0,1,17.36,301.37,
M0,1,15.19,230.74,
M0,1,16.37,267.98,
M0,1,16.53,273.24,
M0,1,20.31,412.50,
M0,1,16.65,277.22,
M0,1,16.88,284.93,
F0,1,24.8,615.04,
F0,1,20.98,440.16,
M0,1,15.62,243.98,
M0,1,21.33,454.97,
M0,1,16.77,281.23,
F0,1,18.18,330.51,
F0,1,21.92,480.49,
F0,1,22.75,517.56,
M0,1,16.33,266.67,
M0,1,17.32,299.98,
